index,reviewbody,star,location_traffic,location_distance_from_business_district,location_easy_to_find,service_wait_time,service_waiters_attitude,service_parking_convenience,service_serving_speed,price_level,price_cost_effective,price_discount,environment_decoration,environment_noise,environment_space,environment_cleaness,dish_portion,dish_taste,dish_look,dish_recommendation
35904,被朋友意外拉来重庆玩，简直是一场说走就走的旅行。去重庆的前一天还在纠结到底是重庆还是成都，然而第二天就妥妥的买了重庆的票。其实两个城市对我而言都是满意的，因为火锅，因为麻辣。\\n\\n第一天到了已经中午11点，人困马乏，所以打算休息一会下午去解放碑逛吃逛吃。好吃街因为离解放碑超近所以也成为大家慕名而来的地方，这条小吃街虽然短，但是食物真的是超级好吃啊。好又来酸辣粉一直是朋友的强烈推荐，也是各个美食吃货家们必需来一碗的小吃，我当然也不例外。\\n\\n一开始没有找对地方，导航真的是太不给力，带着我们直绕圈，在王府井往前也有一家好又来，但是并没有酸辣粉，只有绿色的凉皮还有烤鱿鱼之类的，这家我们也吃了，主要是一开始你找到。后来去了一家买冰水喝，问了老板好吃街的具体地点，才发现原来这么近，呵呵呵，简直了。一眼就看到了排了好多人的好又来酸辣粉，好多人都端着碗在小小的店铺门口吃的超级爽。我们虽然刚才也吃了不少，但还是又来了一碗酸辣粉还有刨冰吧。酸辣粉上面是杂酱，味道非常过瘾麻辣，吃得好嗨，爱吃辣的人绝对不能错过，然后配着挫冰吃，简直爽爆了好吗！然后呢，价钱也不贵，6块钱一碗，较于其他地方，重庆来说物价相对来说还是便宜的，毕竟放假便宜吧，这样食物里的存在成本自然也低。刨冰还是挫冰也是6块，但是真的很好吃啊。,5.0,-2,1,0,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2
15584,在来福士逛，过了饭点不想去吃正餐就在地下一层随便逛逛，出了室内区域就看到了这家店，搜了下点评感觉还可以就进去了，过了饭点店里的人不算很多，点了个套餐，米线有点过桥米线的感觉生的食材现场放锅里，点了番茄的底，米线还挺入味的，汤也好喝，作为一个对汤没有抵抗力的人依旧是喝光汤的节奏，豆浆是用粉泡的基本口味跟kfc的豆浆持平，肉串味道也蛮好的，是比较满意的简餐，车子停在来福士现在凭吃饭的小票消费满额可以去服务台领5块的停车券，之前忘了买单的时候想来店家也帮忙重新打印单子了服务态度还挺好的,4.0,-2,-2,-2,-2,1,1,-2,-2,-2,0,-2,-2,-2,-2,-2,1,-2,-2
491,Baker&Spice是上海Wagas（沃歌斯，后文为方便起见均用该名称代指Baker&Spice）旗下的餐厅。沃歌斯青岛首家餐厅位于万象城LG层中门外侧，意外不是很起眼的位置，在猪头肉印象里这家餐厅也相对比较低调，一直不温不火。正如其名，该餐厅的主营的糕点和意面披萨等简餐都有非常不错的水准。近期经常来沃歌斯，所以就做一下较深度点评。\\n\\n       沃歌斯的装修陈设简洁明亮，偏向北欧范儿。而没做吊顶的裸顶和垂下来的白炽灯又带着一丝工业风。高端文艺范的环境已经成功拉升了餐厅的格调。\\n        在沃歌斯点过两次沙拉，一次凯撒沙拉一次鸡肉芒果沙拉。虽然猪头肉并不喜欢吃生菜多的沙拉，不过沃歌斯的沙拉味道确实非常不错。凯撒沙拉是经典名菜了。沃歌斯的凯撒沙拉默认是不加鸡肉，加鸡肉需要加18元。猪头肉就后悔当时没有加钱加鸡肉。简版的凯撒沙拉是鹌鹑蛋、肉脯碎配蔬菜，上面撒着类似面包糠的碎屑。沃歌斯的沙拉首先胜在食材质量，鹌鹑蛋和生菜不说，肉脯碎的味道就很正，大有双鱼牌的赶脚。另外凯撒沙拉的的酱汁也非常地道。鸡肉芒果沙拉是这里沙拉类的销售冠军。鸡肉烤的火候适中，肉质紧实。芒果切的非常大块，吃到确实很爽。以牛油果为首的各类蔬果配菜也非常丰富。特制的酸甜味酱汁配奶油的味道清新独特，非常开胃。\\n\\n        意面半两尝过三款，各有特色，总体感觉都非常不错。细面配三文鱼通过烹制过程中加入少量奶油很好的烘托了三文鱼浓郁的味道。而选择在食用过程中挤一点柠檬汁则可以中和油腻感和厚重感，增加一丝清新。白葡萄酒海鲜意面是意面类的销售冠军，辅料是虾仁、比管、花蛤还有一点圣女果干和西芹。这款意面比其他意面都要少油，相对的却可以明显的尝出白葡萄酒的清香，而圣女果干沉淀的酸甜和西芹的水嫩很好的配合了白葡萄酒的香味。使用的海鲜鲜度也非常高，虾仁出自本地鲜活的海捕虾。可以明显尝得出来整道意面并没有使用提鲜的调味料，鲜度完全来自于以海虾为首的海鲜。绿酱鸡肉意面使用的罗勒酱味道非常纯正，单是罗勒酱就很赞了。配上奶油口感浓醇爽滑，搭配的空心粉和鸡肉也超合拍。这道意面强力推荐。\\n\\n        沃歌斯还有几款东南亚风的咖喱饭，猪头肉点过其中一款泰式辣味牛肉。这款咖喱是由牛肉、泡发海菜、菜椒和腰果烹制的。牛肉选用的是类似里脊牛腩的部位，肉质很嫩又有嚼劲。咖喱的香辛料绘制出的鲜辣味道很过瘾，而海菜的谷氨酸做了出色的点缀。咖喱的汤汁比较浓稠，配菜的长粒香米质量也很好。配在一起整道菜的体验还是很不错的。\\n\\n         披萨试过两款，意式海鲜披萨和火腿蘑菇披萨。沃歌斯的披萨都是薄饼底。可能是在面团里放了小苏打，披萨的饼底非常蓬松酥脆。披萨的芝士也是超级多，味道也很正，跟特制的薄饼底正是绝配。意式海鲜披萨使用的海鲜与海鲜意面相同，也是突出了以海虾为首的海鲜带来的鲜味。而火腿蘑菇披萨则以口菇特有的鲜味很好的衬托了优质火腿的肉香。这两款披萨都非常推荐。\\n\\n         沃歌斯的甜品品质也非常不错。树莓巧克力挞的酱汁酸味很重，是纯正的树莓果酱。芒果杏仁芝士蛋糕的芒果切得也很大块，中间夹的应该是奶油和芝士混合的酱，饼底的杏仁蛋糕味道很正。胡萝卜蛋糕的酱类似卡仕达酱，但很甜，就像混合了蜂蜜或者炼乳，口感非常醇厚。胡萝卜蛋糕的饼底口感也是醇厚到类似粗粮蛋糕或是枣糕的感觉，里面有胡萝卜和山核桃，也是非常不错。\\n\\n        沃歌斯的简餐和甜品水平都比较高，在同等价位里算是制作非常精致味道比较考究的了。面包没尝过，不妄作评断。目前不是很火爆，所以环境还是很好的。缺点是临街店内会有飞虫。另外猪头肉爆料一下，楼上CGV影院的会员卡在这里除了饮品之外都可享七五折，在万象城性价比还是蛮高的。,5.0,-2,1,-1,-2,-2,-2,-2,-2,1,1,1,1,1,1,1,1,1,1
13864,喝喜酒过来的，虽然说是四星级，但对于普通老百姓来说已经是比较高大上的了，办喜宴在这个市中心的位置也算是不错了！~大厅挺大的，到了饭点人也非常多，朋友定在这边据说也排了好久！~菜单清一色的杭帮菜，很符合我们这边的口味！~服务也很到位，全程都有服务员在边上，服务非常的热情！~上菜速度也比较符合我们用餐的时间！~整个大厅高度和大小都比较合适婚礼布置！~停车也相对方便，都有指引，交通也便利，方便喝酒的亲戚！~,5.0,1,-2,-2,1,1,1,1,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2
6553,以前老来这里吃饭，特别是特色菜乾隆白菜和水煮鱼，每次我馋肉了就来这里吃这个，在二层，环境好，可以看到街上的风景，中午来也好晚上来也好，是聚会的好选择，这里服务态度好，环境好，做菜味道好，在东四也有好多年了，是一家有自己风格的菜馆，我喜欢来这里，是因为交通方便，又可以逛街累了在这里歇歇脚，这里人气旺，附近的居民都知道这里，谁家请客吃饭过生日都会想到这里，吃饭价格本来就不算贵，还可以办卡有优惠，特划算。,5.0,1,-2,-2,-2,1,-2,-2,1,1,0,1,1,1,1,-2,1,-2,-2
47131,这家店位于 兴庆区核心商圈新华东街平安巷25号（天长地久婚纱摄影正对面），位置很好找。因为是银川最繁华的街，所以不建议自己开车来这里吃饭，停车就是个大难题。坐公交来就方便多了，有多路公交，坐到国芳百盛下车，走几十米，斜对面的巷子里就是。店铺分上下两层，一楼大厅散座，二楼包间，店里生意很好，人很多，包间要提前预订。店里主要经营海鲜，食材很新鲜，口味属于南方那种清淡的，菜的分量给的也特别足，老板人也很热情。人均消费大概100左右。,4.0,1,1,1,-2,1,-1,-2,0,-2,-2,-2,-2,-2,-2,1,1,-2,-2
39185,这家靓记港式茶餐厅位于解放碑海逸酒店旁边的观景台的下面，蓝色的门面，看上去还是可以的。有点隐于市的感觉，门面不是很显眼的地方。一般都看不到他们家的，其实上面是有块牌子的。\\n进门可以看到他们店分为了两层，由于是下午过去的，所以上面一层没有开放，就下楼梯到达下面一层的。上面一层第一感觉还是有点压抑的感觉，空间不是很高的。\\n就下面一层来说空间感觉还好，环境来说还是挺典型的茶餐厅的摆设，很简单的长沙发式椅子配上玻璃的木质桌子分在了两边，中间圆形的桌子加上和长沙发一样颜色的椅子。最里面是出菜区域，摆放了一些餐具，然后挂上了电视，播放着港剧。\\n团购的他们家的下午茶套餐，16.8元，可以从几种东西里面去选择。我选择了经典的奶茶和菠萝油。奶茶用了很简单的陶瓷杯承装，份量还是感觉可以的。白色杯子上面有他们家的LOGO。味道还是很好喝的，是我觉得挺正宗的奶茶啦！\\n菠萝油，这个味道也是挺好的，酥皮的感觉是正确的。大小来说还是有这么大一个的。\\n总体来说，这个下午茶的东西还是挺不错的，价格来说比一般的茶餐厅搞的团购价格还是稍微要贵一些的，还是能够接受的。看了看他们家的餐牌，感觉价格来说都还是有点小贵的，也不知道是不是位于解放碑这个位置的原因。,4.0,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,0,0,0,-2,1,1,-2,-2
6268,他家还是前年左右在一店吃过当时赶脚还是蛮不错的啦，反正夏天必备精神食粮；持续减肥中，为避免回家胡吃海喝，最近都是下班后吃点轻食再回家，不过其实冷面也是能吃蛮饱的ORZ，一份冷水面加冰块，吃得好撑啊，之前不该喝太多水...他家面条配料其实一般，除了几片牛肉就是一点黄瓜丝和泡菜，然后卤蛋半个，我怎么记得以前是一整个？这种韩式冷面因为太劲道所以需要多次咀嚼否则很难消化掉，确实赶脚添加剂可能多了点，不宜多吃吧，反正就夏天偶尔次次，嘴馋的吃货是戒不了这一口的~,3.0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2
14924,在交大附近，桥下的路口靠近北京海洋馆。不是很好找。环境挺好的，服务员也不错，最近刚改过菜单。有包间。中午人多上菜有点慢。不过素菜很难做，可以理解。南瓜羹不错，实际不难做。挺真材实料的，比韩国烤肉送的好吃。二指禅是火腿肠形状的，六块一根，以假乱真。还能看到肥肉粒。糖醋鱼完全是鱼肉样子，还有鱼皮估计紫菜做的。不过有点硬。味道一般。肉饼好吃，完全和真肉口感，里面有点香菜，一份八块。还有团购。素菜推荐豌豆苗，很鲜嫩。他家蔬菜做的不错。虽然都是仿肉，也要荤素搭配。同事八个人去，点了满满一桌子，人均60。对了粉蒸肉别点，卖相难看和图片差距很大。推荐大家去试试，性价比不错。老板也很热情。,5.0,-2,-2,-1,-2,1,-2,-1,0,1,0,1,1,1,1,-2,0,-1,1
29583,淮南近年来蛋糕店开的是越来越多，生意也越来越好，其中最最最喜欢的还是乐伴屋。开了好多家连锁，逛到哪都有他的身影。旗舰店位于商贸西门正对面，很大的店面，两层高，一眼就能看到的那种，很醒目。咖色的外表，可爱的摆件加之闪烁的小灯，让人感觉这就是甜点咖啡屋，每每路过这总喜欢停下脚步进去点份蛋糕找个小位置坐会，一种小资的情调。小蛋糕甜而不腻，喜欢慕斯的，冰冰凉凉。一直默默地支持她们家，服务态度就是有旗舰店的高档。,4.0,-2,1,1,-2,0,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2
23578,我必须来评价！在瑞金路工作的时候老是听同事提，但是没在来吃。直到有一天来吃了！肥肠加腰花面简直简直了！现在不在那里上班了，仍然挂念着他们家的三鲜面和肥肠面呢…环境一般，因为是开在自己家门口的，老板娘特别健谈，会和你介绍他们俩的面怎么用料足，材料都是自己去挑选的，面条也是和别家不一样特别定的，总之去吃了她会特别热情。注意的是她家下午营业到三点就关门了，而且中午去晚的话可能想吃的菜就没了，所以还是早去点,5.0,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,0,0,0,0,-2,1,-2,-2
34602,老北京铜锅我一向是拒绝的，清水锅底涮羊肉对重口味星人来说简直可怕到不行的存在。好在还有我爱的糖蒜可以解个腻。这家就在圆通地铁站旁边，非常好找。店里布置用了好多脸谱，京剧元素，装潢挺有味道。调料是自助的，像我这种不能吃芝麻酱的简直大喜，但是还是想说北京铜锅特制的腐乳芝麻酱其实很棒，不爱吃辣的口味清淡的，推荐就芝麻酱别的调料别加。食材方面，除了毛肚有些干，其他还好。上菜顺序最后才上肉，有点奇怪。其实吧，老北京涮羊肉，羊肉的新鲜和芝麻酱的正宗是最重要的。店里还给每个人提供了冰糖葫芦，就是融化了少于，建议商家做好融化措施。,4.0,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,1
4633,五星级酒店的餐厅，占个环境好，私密性比较强，谈事儿和家里聚餐可以选在这里，但菜品口味一般般，服务员没什么笑脸。六个人包间消费近1800，包括15%的服务费。\\n\\n【菜品】广式茶点/川菜/湘菜，是他家主营。榴莲酥、豉汁凤爪都不错，剁椒鱼头之类的川湘菜差点儿火候。果盘吃完让他上才会上，你要不提，他也不提这茬儿。\\n\\n【服务】可以自带酒水，带了一瓶红葡萄一瓶白葡萄酒，用酒容器给你装好，还可以帮忙冰镇，这点基本五星都可以做到。上菜比较快，服务员就没个笑脸了，说话也冷冰冰的，需要好好培训一下。\\n\\n【环境】在酒店大堂穿过去侧面，大厅环境一般，包间确实不错，六个人很舒适，自带卫生间，曲径通幽处，适合商务宴请和家里\\n聚餐。\\n\\n总体上凑活吧。,3.0,-2,-2,-2,-2,0,-2,1,0,-2,-2,0,0,0,0,-2,0,-2,-2
25188,早就想吃了  今天终于去了  还是冒着雨去的  为了吃个饭也是挺拼的  人不多 上菜还挺快  担担面味道还行  但是面条我不知道是不是正宗的感觉没劲儿 小面味道很好 同样的我觉得面条本身不好吃软 没劲儿  红糖糍粑很好吃 好像炸年糕  红油水饺好吃 鲜肉馅的 口水鸡今天半价味道也不错 唯一不满意的是小笼包  不好吃 不建议点  这些东西看起来不贵  但是点点就不少  这些一共花了七十  关键我俩吃完没觉得饱 量小  而且太油腻  偶尔吃吃可以 没有什么特别惊艳的,4.0,-2,-2,-2,-2,-2,-2,1,0,-2,1,-2,-2,-2,-2,-1,0,-2,-1
12657,周日晚上汇京的地下一层，完全没什么人，进这家完全是因为刚好要在虹桥路地铁站附近吃饭，串串是相对比较能激起食欲的一个选项了。\\n\\n店面不大，几个四人座和几个两人座，锅底红油芝麻看起来很不粗，可是串串应该是热水里汆过就直接放里面的，有一半都没有浸没到锅底里，所以吃的时候基本没什么滋味，也就是牛肉是腌过的，还可以，青笋这种切大块的基本就是白煮菜的。所以理想中的麻辣鲜香，基本也就失望而归了。小菜里面的泡菜味道不错，值得推荐一下。,2.0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,0,-2,1
43901,刚开业的新店 主要卖厚吐司 感觉很适合吃早餐的店 就在移动营业厅旁边 有很多位子可以坐 沙发坐起来好舒服的 装修的也不错 而且店员都是年轻人 \\n今天正式营业第一天 原味奶茶只要一块钱 之前试营业也试过这家店的港味奶茶 港味奶茶的确茶味很重 味道有点像之前在大通冰室喝的丝袜奶茶 原味奶茶比起周围的奶茶茶味也算重了哈哈 我超级喜欢港味奶茶的\\n至于厚吐司 就是比一般的吐司厚一点的吐司 大份是小份的双倍 暂时只吃了夏威夷火腿厚吐司 芝士好厚 但是做了好久 感觉是个披萨也该烤好了 不过味道还是不错的\\n其实作为一个肉食控 好想试试超级左右腿的 奈何钱包空空 下次试试看 明天厚吐司半价 继续尝试别的口味哈哈哈,4.0,-2,-2,-2,-2,0,-2,-1,1,-2,1,1,1,1,1,-2,1,-2,-2
45334,很满意，感觉环境很好，干净，时尚。走进去，迎宾将你带进去，菜一会就上来了。我买的9.9元的团购，鸭爪爪鱼够麻够辣，鸭翅很香，里面有手擀粉，花菜，鱼。但我感觉鸭翅很好吃。另外点了一份牛肉大杂烩，里面有白菜，粉条，牛肉，牛肉丸，非常好吃。但感觉有些贵，46元一份，份量不是很多。这个餐厅还放有虾片，感觉比别家的好吃。\\n        卫生间很干净，尤其让人感觉到温馨的是，卫生间除了放有卫生纸外，盒子里还放有卫生巾，盒子上还写有提示语。,5.0,-2,-2,-2,-2,0,-2,0,-1,-2,0,1,1,-2,1,-1,1,-2,-2
42722,麦当劳和肯德基果然是好基友，有麦麦的地方肯定有肯德基，因为在家附近的原因，所以这家肯德基还蛮常来的，最近新装修了，风格变了下，也很贴心的在特定的座位下安有插座，供顾客手机充电之类的，不过毕竟是在车站附近，装修的再高大上，其实整体环境也是嘈杂的，偶尔还会见一两个人躺在椅子上睡觉。现在来肯德基我基本上都是只买蛋挞的，不是夸奖肯德基，它家的蛋挞真的是我吃过众多蛋挞里面味道最好的，不管是不是个人口味偏好，外酥里嫩，每次买的蛋挞都是热热的，咬一口中间的挞心还会流出来，吃的真的是满脸感动，不过蛋挞这种高热量的东西不要天天吃。偶尔吃吃就好了。管住嘴管住嘴。,4.0,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-1,0,-2,-2,1,-2,-2
12366,听门口的店员介绍感觉还不错就进来。结果真是失望透顶。套餐里的菜外面的说可以换，进来点之后一个店员先说不确定，然后换了一个说去问问厨房，故等之，回来之后说可以。于是下了单，并格外点了菜品。结果又重新来一个店员再次询问，态度很是奇怪。套餐就算便宜你们不想接待那干嘛要设呢？而且进门前我们就咨询过是否可以更换菜品的事宜。店员之间自己不交接好却三番五次地来询问顾客，并且态度很不友好。再来，我们去的时候不算是饭点，人也不多。可是上了三个素菜之后就再也没有菜上来了。。。是的，是再也没有，连套餐里的饭都没上。于是我们弱弱地催了下，因为你们也看过火锅店被人泼开水的新闻，态度好保命啊。然后过了一会上来的菜。。我们都震(wu) 惊（yu)了，经过几轮确认后竟然还是给我们上了进门前就说要更换的菜。。。这，我们非常不好意思地表达后又开始了更漫长的等待，中间忍不住催了下，一个店员说更换的菜品要输入电脑厨房才操作，所以要多等下，于是我们似乎明白之前多次的确认和询问是毫无意义的，那他们为什么要来确认几次呢，臣妾实在不懂啊……上来了一个菜，因为实在很饿，所以我们开心地吃了，一直到吃完摆了几个龙门阵还有个菜也没上。Orz。。。我们坐不下去了，因为已经快两个半小时了，于是我们请求结账，弱弱地表示可否不要那个菜，可是店员说快了，可是你们觉得我们还能相信他们吗？我们不吃了，以后再也不敢换菜了好吗。我们坚强地要求结账，然后是不是因为套餐菜没上齐结账比较麻烦，我们又等了好一会。好吧，终于老板开心滴说还是按套餐给我们算得，本来是不可以的哦……呵呵，可是老板大大，我们套餐里的饭还没上呢。。。终于走到最后一个流程，大家都觉得可以开心地去吃另一家了，结果前台收钱的姐姐恶恶地说让我们必须给零钱，最后的最后还不给发票。。。真是自作孽不可活啊，我以后再也不敢来了。看着外面还有那么多排号等着吃饭的人我陷入了深深地自责，三个小时，菜没上齐，饭也没吃上，还让那么多人等，我再也不敢了。。。,1.0,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
18991,"小小的一家店,在六楼，之前有次路过看到有户“人家”床上有个很大的爱心型的彩灯，没想到原来就是它家。店里有三只可爱的阿汪，柯基、雪纳瑞和泰迪，貌似分别叫做monster、puppy和球球。都很活泼，一拿两块小饼干逗它们，就都扒我大腿上来了，看来汪星人没有不贪吃的啊。店里的东西不贵，楼下是咖啡甜品，楼上是可以点酒水。华夫味道一般，喝的雪顶蓝柑荔枝苏打水，挺清爽的。虽然东西不怎么惊艳，但是因为三只汪星人，让我对这家店印象还是很好的。也许也正是三只汪星人，店里生意很好。",4.0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-1,-2,-2,0,-2,-2
